task name,category,start date,end date,comment
Project Kickoff,Management,2026-04-20,2026-04-20,킥오프 미팅 및 목표 공유
Requirement Analysis,Management,2026-04-21,2026-04-24,요구사항 정리 및 이해관계자 인터뷰
UX Research,Design,2026-04-21,2026-04-25,사용자 인터뷰 및 경쟁사 분석
Wireframe,Design,2026-04-24,2026-04-28,화면 구조 설계
UI Design,Design,2026-04-28,2026-05-06,컴포넌트 및 스타일 시스템 디자인
DB Schema Design,Backend,2026-04-25,2026-04-28,테이블 구조 및 관계 설계
API Development,Backend,2026-04-29,2026-05-09,REST API 엔드포인트 구현
Auth & Permissions,Backend,2026-04-29,2026-05-02,JWT 인증 및 역할 기반 권한 처리
Frontend Setup,Frontend,2026-04-28,2026-04-30,Next.js 프로젝트 초기화 및 공통 컴포넌트 구성
Core UI Implementation,Frontend,2026-04-30,2026-05-09,페이지 및 주요 기능 화면 구현
API Integration,Frontend,2026-05-07,2026-05-12,백엔드 API 연동 및 상태 관리
Unit Testing,QA,2026-05-05,2026-05-10,컴포넌트 단위 테스트 작성
Integration Testing,QA,2026-05-10,2026-05-14,전체 플로우 통합 테스트
Performance Audit,QA,2026-05-12,2026-05-14,Lighthouse 분석 및 병목 개선
Staging Deploy,DevOps,2026-05-09,2026-05-10,스테이징 환경 배포
Production Deploy,DevOps,2026-05-15,2026-05-15,프로덕션 배포 및 DNS 전환
Post-launch Monitoring,Management,2026-05-15,2026-05-19,오류 모니터링 및 사용자 피드백 수집
